OBJECTID,DISTRICT,ID,BPDGIS_GIS,DISTRICT_,DISTRICT__,ShapeSTArea,ShapeSTLength
1,A15,A15,A,15,15,37983921.2363281,57616.0071895608
2,A7,A7,A,7,07,140115093.288086,138468.216079978
3,A1,A1,A,1,01,44484839.7033691,48957.6712186314
4,C6,C6,C,6,06,123691864.718262,93389.5187479956
5,D4,D4,D,4,04,69995461.4702148,41016.8089765986
6,D14,D14,D,14,14,123625268.617798,58025.0316270023
7,E13,E13,E,13,13,111901683.943115,66958.4417828001
8,E5,E5,E,5,05,191621414.497437,87797.6534799846
9,B3,B3,B,3,03,93158968.4296875,60468.0889547661
10,C11,C11,C,11,11,132918494.959961,121141.759522768
11,E18,E18,E,18,18,162732332.194336,79495.0156316218
12,B2,B2,B,2,02,119718407.779785,70547.5266229027
