Incident_Num,Shooting_Date,DISTRICT,Shooting_Type_V2,Victim_Gender,Victim_Race,Victim_Ethnicity_NIBRS,Multi_Victim
I152000196-00,1/1/2015 13:30,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152000879-00,1/4/2015 1:58,E18,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152001014-00,1/4/2015 18:52,E5,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152002232-00,1/8/2015 22:45,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I152002233-00,1/8/2015 22:45,B2,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,t
I152002234-00,1/8/2015 22:45,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I152002215-00,1/8/2015 22:45,B2,Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I152003226-00,1/12/2015 23:58,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152004092-00,1/16/2015 2:25,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152005490-00,1/20/2015 23:30,E13,Non-Fatal,Male,White,Hispanic or Latinx,f
I152005465-00,1/20/2015 11:03,B2,Fatal,Male,White,Not Hispanic or Latinx,f
I152005806-00,1/22/2015 1:47,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152006073-00,1/22/2015 19:32,B2,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,t
I152006114-00,1/22/2015 19:32,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I152005008-00,1/19/2015 12:38,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152006505-00,1/23/2015 23:05,E13,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I152006535-00,1/23/2015 23:05,E13,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I152006455-00,1/23/2015 23:05,E13,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I152006514-00,1/23/2015 23:05,E13,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I152006534-00,1/23/2015 23:05,E13,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,t
I152006502-00,1/23/2015 23:05,E13,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I152009379-00,2/4/2015 19:40,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152010507-00,2/8/2015 19:34,B3,Non-Fatal,Male,Black or African American,Hispanic or Latinx,f
I152011034-00,2/10/2015 20:33,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152011169-00,2/11/2015 10:30,E13,Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152016667-00,3/1/2015 22:28,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152017250-00,3/3/2015 19:12,B2,Non-Fatal,Male,White,Hispanic or Latinx,f
I152018392-00,3/7/2015 2:03,D4,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152019788-00,3/11/2015 18:12,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152019839-00,3/12/2015 0:11,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152020404-00,3/13/2015 18:21,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152020435-00,3/13/2015 20:03,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152020724-00,3/14/2015 21:05,E18,Non-Fatal,Male,White,Hispanic or Latinx,f
I152020804-00,3/15/2015 3:58,E18,Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I152020820-00,3/15/2015 3:59,E18,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I152020647-00,3/14/2015 15:46,B2,Fatal,Male,White,Hispanic or Latinx,f
I152021830-00,3/18/2015 12:30,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152023517-00,3/23/2015 22:02,A7,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152025357-00,3/28/2015 20:48,B3,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,f
I152025087-00,3/27/2015 14:44,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152025018-00,3/27/2015 18:40,B2,Non-Fatal,Male,White,Not Hispanic or Latinx,t
I152025097-00,3/27/2015 10:54,B2,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,t
I152026045-00,3/31/2015 11:26,B3,Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I152026103-00,3/31/2015 11:26,B3,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,t
I152026538-00,4/1/2015 20:29,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152027279-00,4/3/2015 23:15,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I152027279-00,4/3/2015 23:15,B2,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,t
I152028043-00,4/6/2015 21:17,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152028582-00,4/8/2015 20:21,C11,Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I152028599-00,4/8/2015 20:20,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I152028762-00,4/9/2015 15:45,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152029808-00,4/12/2015 21:51,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I152029808-00,4/12/2015 21:51,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I152033518-00,4/24/2015 23:00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152034171-00,4/27/2015 10:15,B2,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,f
I152034689-00,4/28/2015 17:53,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152035802-00,5/2/2015 15:08,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152036137-00,5/3/2015 19:30,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152036159-00,5/3/2015 20:02,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152036563-00,5/5/2015 4:03,E5,Non-Fatal,Male,Unknown,Unknown,f
I152038380-00,5/10/2015 13:40,D4,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152037866-00,5/8/2015 11:44,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152037218-00,5/7/2015 4:00,B2,Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152037334-00,5/7/2015 13:31,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
