town,candidate,votes
Boston,No,159940.0
Boston,Yes,99781.0
Worcester,No,38299.0
Cambridge,No,30641.0
Springfield,No,29157.0
Somerville,No,27438.0
Quincy,No,26421.0
Newton,No,26204.0
Worcester,Yes,23810.0
Brockton,No,20878.0
Springfield,Yes,20622.0
Lynn,No,19524.0
Lowell,No,19514.0
Medford,No,19468.0
Plymouth,No,19084.0
Weymouth,No,18820.0
Newton,Yes,18710.0
New Bedford,No,18490.0
Cambridge,Yes,18367.0
Peabody,No,18101.0
Arlington,No,18010.0
Brookline,No,17576.0
Framingham,No,17374.0
Haverhill,No,16873.0
Waltham,No,16848.0
Fall River,No,15987.0
Chicopee,No,15784.0
Lowell,Yes,14847.0
Methuen,No,14100.0
Quincy,Yes,13824.0
Malden,No,13807.0
Beverly,No,13748.0
Billerica,No,13739.0
Braintree,No,13665.0
Pittsfield,No,13503.0
Woburn,No,13340.0
New Bedford,Yes,13307.0
Attleboro,No,13150.0
Plymouth,Yes,13004.0
Brockton,Yes,12962.0
Salem,No,12947.0
Barnstable,No,12829.0
Taunton,No,12735.0
Barnstable,Yes,12732.0
Westfield,No,12727.0
Northampton,No,12548.0
Fall River,Yes,12505.0
Lawrence,No,12405.0
Shrewsbury,No,12270.0
Chelmsford,No,12094.0
Watertown,No,12088.0
Lynn,Yes,12071.0
Haverhill,Yes,11814.0
Leominster,No,11728.0
Revere,No,11650.0
Natick,No,11591.0
Framingham,Yes,11546.0
Franklin,No,11513.0
Melrose,No,11239.0
Somerville,Yes,11113.0
Amherst,No,11105.0
Falmouth,No,10953.0
Holyoke,No,10719.0
Tewksbury,No,10714.0
Lexington,No,10575.0
Wakefield,No,10567.0
Brookline,Yes,10449.0
Andover,No,10443.0
Gloucester,No,10376.0
Stoughton,No,10338.0
Norwood,No,10279.0
Weymouth,Yes,10263.0
Reading,No,10249.0
Danvers,No,10175.0
Needham,No,10050.0
Marlborough,No,9957.0
Dartmouth,No,9886.0
Agawam,No,9780.0
North Attleborough,No,9750.0
Saugus,No,9733.0
Dracut,No,9643.0
Lawrence,Yes,9603.0
Marshfield,No,9545.0
Milton,No,9530.0
Peabody,Yes,9508.0
Medford,Yes,9259.0
North Andover,No,9208.0
Walpole,No,9200.0
Dedham,No,8978.0
Belmont,No,8952.0
Burlington,No,8884.0
Waltham,Yes,8789.0
Mansfield,No,8682.0
Stoneham,No,8639.0
Methuen,Yes,8560.0
Fitchburg,No,8541.0
Andover,Yes,8502.0
Milford,No,8493.0
Bridgewater,No,8474.0
Salem,Yes,8412.0
Falmouth,Yes,8372.0
Randolph,No,8356.0
Everett,No,8348.0
Arlington,Yes,8112.0
West Springfield,No,8098.0
Billerica,Yes,8063.0
Beverly,Yes,8012.0
Malden,Yes,7984.0
Westford,No,7975.0
Needham,Yes,7973.0
Wellesley,Yes,7896.0
Chicopee,Yes,7866.0
Marlborough,Yes,7820.0
Natick,Yes,7800.0
Canton,No,7795.0
Middleborough,No,7749.0
Chelmsford,Yes,7737.0
Leominster,Yes,7713.0
Holden,No,7690.0
Yarmouth,No,7596.0
Hingham,No,7560.0
Easton,No,7439.0
Acton,No,7386.0
Lexington,Yes,7363.0
Easthampton,No,7324.0
Winchester,No,7174.0
Attleboro,Yes,7148.0
Taunton,Yes,7012.0
Ludlow,No,6888.0
Revere,Yes,6872.0
Newburyport,No,6867.0
Pembroke,No,6817.0
Sandwich,No,6778.0
Woburn,Yes,6770.0
Scituate,No,6727.0
Hingham,Yes,6726.0
Foxborough,No,6696.0
Marblehead,No,6672.0
North Andover,Yes,6574.0
Franklin,Yes,6548.0
Wellesley,No,6545.0
Hudson,No,6528.0
Norton,No,6516.0
Fitchburg,Yes,6488.0
Auburn,No,6444.0
Dracut,Yes,6418.0
Sharon,No,6384.0
Tewksbury,Yes,6381.0
Wareham,No,6371.0
Shrewsbury,Yes,6347.0
Milton,Yes,6322.0
South Hadley,No,6315.0
Somerset,No,6298.0
Grafton,No,6288.0
Braintree,Yes,6235.0
Marblehead,Yes,6220.0
Rockland,No,6217.0
Yarmouth,Yes,6195.0
Dartmouth,Yes,6134.0
Randolph,Yes,6112.0
Pittsfield,Yes,6099.0
Winthrop,No,6064.0
Belchertown,No,6040.0
Marshfield,Yes,6039.0
Greenfield,No,6004.0
Amesbury,No,6001.0
Bourne,No,5996.0
Ashland,No,5938.0
Westfield,Yes,5882.0
East Longmeadow,No,5863.0
Sudbury,No,5860.0
Westborough,No,5818.0
Sandwich,Yes,5798.0
North Reading,No,5796.0
Gloucester,Yes,5762.0
Watertown,Yes,5757.0
Abington,No,5722.0
Westford,Yes,5690.0
Hanover,No,5644.0
Longmeadow,No,5567.0
Holyoke,Yes,5564.0
Concord,No,5522.0
Northborough,No,5465.0
Bellingham,No,5433.0
Whitman,No,5433.0
Concord,Yes,5430.0
Holliston,No,5381.0
East Bridgewater,No,5347.0
Belmont,Yes,5335.0
Hopkinton,No,5302.0
Gardner,No,5292.0
Wilbraham,No,5292.0
Fairhaven,No,5280.0
Westport,No,5252.0
North Attleborough,Yes,5214.0
Swansea,No,5191.0
Dennis,No,5179.0
Norwood,Yes,5177.0
Melrose,Yes,5176.0
Westwood,No,5171.0
Walpole,Yes,5167.0
Wilmington,No,5167.0
Scituate,Yes,5154.0
Dedham,Yes,5145.0
Northbridge,No,5126.0
Acton,Yes,5123.0
Winchester,Yes,5109.0
Everett,Yes,5087.0
Swampscott,No,5060.0
Stoughton,Yes,5050.0
Danvers,Yes,5010.0
Duxbury,No,5008.0
Kingston,No,4972.0
Ipswich,No,4953.0
Raynham,No,4951.0
Burlington,Yes,4918.0
Uxbridge,No,4918.0
Harwich,No,4884.0
