town,candidate,votes
Boston,Yes,163724.0
Boston,No,98454.0
Cambridge,Yes,35360.0
Worcester,Yes,35056.0
Somerville,Yes,29447.0
Springfield,Yes,29366.0
Worcester,No,28892.0
Newton,Yes,24748.0
Springfield,No,21730.0
Quincy,Yes,21083.0
Newton,No,20473.0
Quincy,No,20230.0
Lowell,Yes,19621.0
New Bedford,Yes,18345.0
Brockton,Yes,17455.0
Lynn,Yes,17279.0
Brookline,Yes,17217.0
Medford,Yes,16799.0
Plymouth,Yes,16721.0
Brockton,No,16326.0
Fall River,Yes,16241.0
Haverhill,Yes,15900.0
Framingham,Yes,15673.0
Lowell,No,15565.0
Plymouth,No,15509.0
Lynn,No,15239.0
Arlington,Yes,14976.0
Peabody,No,14973.0
Weymouth,No,14705.0
Weymouth,Yes,14543.0
Cambridge,No,14230.0
Waltham,Yes,14156.0
Lawrence,No,13677.0
New Bedford,No,13633.0
Barnstable,No,13390.0
Framingham,No,13340.0
Taunton,Yes,12983.0
Haverhill,No,12892.0
Salem,Yes,12891.0
Peabody,Yes,12770.0
Chicopee,Yes,12760.0
Barnstable,Yes,12314.0
Fall River,No,12223.0
Medford,No,12116.0
Beverly,Yes,12082.0
Malden,Yes,11820.0
Methuen,No,11790.0
Waltham,No,11735.0
Attleboro,Yes,11602.0
Pittsfield,Yes,11538.0
Billerica,Yes,11435.0
Arlington,No,11318.0
Northampton,Yes,11104.0
Brookline,No,11027.0
Chicopee,No,10960.0
Methuen,Yes,10947.0
Braintree,No,10876.0
Watertown,Yes,10850.0
Amherst,Yes,10737.0
Natick,Yes,10518.0
Billerica,No,10460.0
Shrewsbury,No,10459.0
Taunton,No,10315.0
Andover,No,10314.0
Woburn,No,10241.0
Revere,No,10184.0
Chelmsford,No,10133.0
Falmouth,No,10071.0
Malden,No,9976.0
Leominster,Yes,9973.0
Woburn,Yes,9971.0
Needham,No,9958.0
Lawrence,Yes,9890.0
Beverly,No,9838.0
Chelmsford,Yes,9775.0
Westfield,Yes,9760.0
Lexington,No,9561.0
Leominster,No,9524.0
Somerville,No,9498.0
Gloucester,Yes,9404.0
Falmouth,Yes,9393.0
Marlborough,Yes,9388.0
Holyoke,Yes,9374.0
Franklin,Yes,9153.0
Revere,Yes,9142.0
Braintree,Yes,9142.0
Natick,No,8986.0
Franklin,No,8982.0
Westfield,No,8958.0
Attleboro,No,8806.0
Andover,Yes,8759.0
Milton,No,8754.0
Tewksbury,No,8727.0
Fitchburg,Yes,8707.0
Lexington,Yes,8589.0
Salem,No,8553.0
Wellesley,No,8507.0
Marlborough,No,8502.0
Melrose,Yes,8498.0
North Andover,No,8462.0
Tewksbury,Yes,8441.0
Hingham,No,8373.0
Dartmouth,Yes,8367.0
Reading,No,8353.0
Dracut,Yes,8305.0
Norwood,No,8271.0
Shrewsbury,Yes,8253.0
Pittsfield,No,8226.0
Needham,Yes,8197.0
Walpole,No,8179.0
Wakefield,No,8159.0
North Attleborough,Yes,8141.0
Danvers,No,8006.0
Melrose,No,7990.0
Marshfield,No,7928.0
Dracut,No,7835.0
Dartmouth,No,7732.0
Marshfield,Yes,7705.0
Yarmouth,No,7697.0
Burlington,No,7615.0
Saugus,No,7600.0
Belmont,Yes,7577.0
Agawam,No,7435.0
North Andover,Yes,7412.0
Randolph,Yes,7343.0
Wakefield,Yes,7339.0
Norwood,Yes,7328.0
Danvers,Yes,7253.0
Agawam,Yes,7197.0
Milton,Yes,7185.0
Westford,No,7167.0
Stoughton,Yes,7157.0
Watertown,No,7129.0
Holyoke,No,7125.0
Dedham,Yes,7119.0
Dedham,No,7119.0
Winchester,No,7107.0
Randolph,No,7103.0
Milford,Yes,6930.0
Stoughton,No,6906.0
North Attleborough,No,6891.0
Stoneham,No,6859.0
Belmont,No,6857.0
Everett,No,6853.0
Gloucester,No,6838.0
Sandwich,No,6830.0
Reading,Yes,6800.0
Mansfield,Yes,6778.0
Canton,No,6761.0
Marblehead,Yes,6674.0
Saugus,Yes,6655.0
Fitchburg,No,6636.0
Westford,Yes,6557.0
Acton,Yes,6552.0
Everett,Yes,6539.0
Bridgewater,No,6520.0
Middleborough,Yes,6501.0
Milford,No,6424.0
Wareham,Yes,6409.0
Bridgewater,Yes,6370.0
Mansfield,No,6366.0
Walpole,Yes,6267.0
Newburyport,Yes,6262.0
Scituate,No,6261.0
Marblehead,No,6260.0
Burlington,Yes,6253.0
West Springfield,No,6239.0
Yarmouth,Yes,6180.0
Easton,No,6134.0
Stoneham,Yes,6078.0
Wellesley,Yes,6074.0
Acton,No,6072.0
Easthampton,Yes,6005.0
Hingham,Yes,5994.0
Canton,Yes,5885.0
Middleborough,No,5885.0
Holden,No,5836.0
West Springfield,Yes,5813.0
Sandwich,Yes,5807.0
Scituate,Yes,5680.0
Concord,Yes,5569.0
Duxbury,No,5565.0
Hudson,Yes,5533.0
Bourne,No,5516.0
Concord,No,5478.0
Sudbury,No,5447.0
Westwood,No,5427.0
Holden,Yes,5422.0
Amesbury,Yes,5388.0
Sharon,Yes,5370.0
Easton,Yes,5320.0
Winchester,Yes,5312.0
Pembroke,No,5308.0
Grafton,Yes,5286.0
Norton,Yes,5269.0
Ludlow,No,5225.0
Greenfield,Yes,5220.0
Foxborough,No,5218.0
Somerset,Yes,5201.0
Bourne,Yes,5178.0
Pembroke,Yes,5165.0
Sudbury,Yes,5149.0
Longmeadow,No,5119.0
Newburyport,No,5118.0
Hudson,No,5109.0
Winthrop,Yes,5070.0
Hanover,No,5057.0
Bellingham,Yes,5031.0
Northampton,No,5007.0
Rockland,Yes,4982.0
Foxborough,Yes,4980.0
Westborough,No,4971.0
East Longmeadow,No,4935.0
Dennis,No,4928.0
Chelsea,Yes,4895.0
North Reading,No,4865.0
Grafton,No,4859.0
Sharon,No,4855.0
Ludlow,Yes,4837.0
Hopkinton,No,4814.0
Wareham,No,4786.0
Gardner,Yes,4764.0
Westport,Yes,4762.0
Mashpee,No,4749.0
South Hadley,Yes,4745.0
Ashland,Yes,4736.0
Wilbraham,No,4726.0
Somerset,No,4718.0
Fairhaven,Yes,4688.0
Auburn,Yes,4633.0
Swampscott,Yes,4623.0
Abington,Yes,4590.0
Swansea,Yes,4559.0
Ipswich,Yes,4534.0
Auburn,No,4530.0
Holliston,Yes,4517.0
Northborough,No,4513.0
Westborough,Yes,4480.0
Harwich,No,4449.0
Hopkinton,Yes,4444.0
South Hadley,No,4439.0
Winthrop,No,4435.0
Lynnfield,No,4427.0
Belchertown,Yes,4425.0
Northborough,Yes,4413.0
Rockland,No,4410.0
Norton,No,4394.0
Ashland,No,4389.0
Dennis,Yes,4337.0
Whitman,Yes,4329.0
Longmeadow,Yes,4268.0
Westport,No,4259.0
Duxbury,Yes,4239.0
East Longmeadow,Yes,4222.0
Wayland,Yes,4215.0
Medfield,No,4207.0
Bedford,No,4194.0
Uxbridge,Yes,4190.0
Wayland,No,4182.0
North Reading,Yes,4168.0
Northbridge,Yes,4161.0
Abington,No,4127.0
Mashpee,Yes,4126.0
Northbridge,No,4097.0
Holliston,No,4090.0
Ipswich,No,4088.0
Nantucket,Yes,4083.0
Medway,Yes,4067.0
East Bridgewater,Yes,4060.0
Swampscott,No,4037.0
Webster,Yes,4e3
Harwich,Yes,3982.0
Chelsea,No,3968.0
Swansea,No,3962.0
Clinton,Yes,3953.0
Seekonk,Yes,3953.0
Wilmington,Yes,3943.0
Raynham,No,3940.0
Kingston,No,3914.0
Wilmington,No,3882.0
Bellingham,No,3856.0
Westwood,Yes,3849.0
East Bridgewater,No,3838.0
Fairhaven,No,3816.0
Amesbury,No,3815.0
Southbridge,Yes,3798.0
Oxford,Yes,3797.0
Millbury,Yes,3795.0
Gardner,No,3788.0
Hull,Yes,3769.0
Charlton,Yes,3760.0
Groton,Yes,3755.0
Seekonk,No,3734.0
Bedford,Yes,3732.0
Belchertown,No,3729.0
Kingston,Yes,3725.0
Pepperell,Yes,3714.0
Raynham,Yes,3703.0
Amherst,No,3677.0
Rehoboth,Yes,3663.0
Weston,No,3652.0
Medway,No,3641.0
Easthampton,No,3637.0
Norwell,No,3636.0
Wilbraham,Yes,3618.0
Whitman,No,3617.0
Hanover,Yes,3584.0
Tyngsborough,Yes,3556.0
Maynard,Yes,3553.0
North Adams,Yes,3522.0
Uxbridge,No,3518.0
Brewster,No,3467.0
Charlton,No,3466.0
Medfield,Yes,3424.0
Palmer,Yes,3414.0
Wrentham,No,3409.0
Lunenburg,Yes,3351.0
Millbury,No,3349.0
Carver,Yes,3340.0
Wrentham,Yes,3271.0
Greenfield,No,3265.0
Lakeville,No,3250.0
Webster,No,3247.0
Littleton,Yes,3233.0
Brewster,Yes,3220.0
Southborough,No,3216.0
Tyngsborough,No,3197.0
Lakeville,Yes,3170.0
Rehoboth,No,3137.0
Oxford,No,3136.0
Spencer,Yes,3089.0
Norfolk,No,3072.0
Clinton,No,3061.0
Hanson,Yes,3059.0
Leicester,Yes,3056.0
Pepperell,No,3046.0
Norwell,Yes,3035.0
Southbridge,No,3010.0
Hanson,No,3010.0
Lunenburg,No,2960.0
Norfolk,Yes,2957.0
Groton,No,2943.0
Lynnfield,Yes,2940.0
Carver,No,2904.0
Townsend,Yes,2903.0
Holbrook,Yes,2883.0
Weston,Yes,2880.0
Sutton,No,2852.0
Athol,Yes,2823.0
Dudley,Yes,2800.0
Sturbridge,Yes,2797.0
Douglas,Yes,2795.0
Cohasset,No,2789.0
Holbrook,No,2781.0
Sutton,Yes,2777.0
Montague,Yes,2773.0
Southborough,Yes,2769.0
Acushnet,Yes,2768.0
Winchendon,Yes,2735.0
Middleton,No,2728.0
Littleton,No,2713.0
Salisbury,Yes,2695.0
Leicester,No,2694.0
Spencer,No,2692.0
Boxford,No,2681.0
Palmer,No,2675.0
Blackstone,Yes,2669.0
Southwick,Yes,2651.0
Acushnet,No,2648.0
Monson,Yes,2646.0
Freetown,Yes,2634.0
Rockport,Yes,2630.0
