town,candidate,votes
Boston,Clinton,216754.0
Cambridge,Clinton,44835.0
Worcester,Clinton,42534.0
Springfield,Clinton,38235.0
Boston,Trump,37756.0
Newton,Clinton,35395.0
Somerville,Clinton,32903.0
Quincy,Clinton,25298.0
Brockton,Clinton,25075.0
Brookline,Clinton,23913.0
Lowell,Clinton,23186.0
Lynn,Clinton,21841.0
New Bedford,Clinton,20749.0
Framingham,Clinton,20277.0
Arlington,Clinton,20159.0
Medford,Clinton,20037.0
Lawrence,Clinton,19689.0
Worcester,Trump,17634.0
Fall River,Clinton,17272.0
Waltham,Clinton,17103.0
Malden,Clinton,15759.0
Plymouth,Clinton,15323.0
Weymouth,Clinton,15278.0
Haverhill,Clinton,15104.0
Salem,Clinton,14743.0
Peabody,Clinton,14385.0
Plymouth,Trump,14168.0
Lexington,Clinton,13895.0
Pittsfield,Clinton,13767.0
Quincy,Trump,13297.0
Natick,Clinton,13203.0
Northampton,Clinton,13200.0
Beverly,Clinton,13046.0
Watertown,Clinton,12942.0
Barnstable,Clinton,12862.0
Needham,Clinton,12788.0
Chicopee,Clinton,12332.0
Taunton,Clinton,12143.0
Amherst,Clinton,12030.0
Peabody,Trump,12029.0
Weymouth,Trump,11951.0
Revere,Clinton,11870.0
Haverhill,Trump,11809.0
Holyoke,Clinton,11607.0
Methuen,Clinton,11563.0
Randolph,Clinton,11362.0
Barnstable,Trump,11142.0
Falmouth,Clinton,11107.0
Andover,Clinton,11019.0
Springfield,Trump,10890.0
Fall River,Trump,10792.0
Woburn,Clinton,10746.0
Milton,Clinton,10653.0
Melrose,Clinton,10548.0
Marlborough,Clinton,10532.0
Chelmsford,Clinton,10529.0
Shrewsbury,Clinton,10501.0
Lowell,Trump,10495.0
New Bedford,Trump,10319.0
Braintree,Clinton,10317.0
Attleboro,Clinton,10304.0
Billerica,Trump,10282.0
Belmont,Clinton,10233.0
Wellesley,Clinton,10170.0
Methuen,Trump,10162.0
Billerica,Clinton,10016.0
Taunton,Trump,9868.0
Chicopee,Trump,9837.0
Leominster,Clinton,9793.0
Gloucester,Clinton,9714.0
Franklin,Clinton,9465.0
Everett,Clinton,9439.0
Lynn,Trump,9174.0
Acton,Clinton,9096.0
Westfield,Trump,8962.0
Norwood,Clinton,8902.0
Brockton,Trump,8707.0
Reading,Clinton,8673.0
Dedham,Clinton,8550.0
Dartmouth,Clinton,8511.0
Fitchburg,Clinton,8491.0
Attleboro,Trump,8437.0
Stoughton,Clinton,8396.0
Tewksbury,Trump,8372.0
Braintree,Trump,8356.0
North Andover,Clinton,8350.0
Dracut,Trump,8319.0
Hingham,Clinton,8305.0
Wakefield,Clinton,8274.0
Woburn,Trump,8271.0
Concord,Clinton,8246.0
Leominster,Trump,8180.0
Westfield,Clinton,8172.0
Marblehead,Clinton,8108.0
Winchester,Clinton,7766.0
Westford,Clinton,7760.0
Danvers,Clinton,7681.0
Newton,Trump,7644.0
Chelmsford,Trump,7596.0
Medford,Trump,7561.0
Burlington,Clinton,7551.0
Tewksbury,Clinton,7511.0
Waltham,Trump,7494.0
Agawam,Trump,7421.0
Newburyport,Clinton,7404.0
Chelsea,Clinton,7395.0
Milford,Clinton,7325.0
Marshfield,Clinton,7288.0
Sudbury,Clinton,7257.0
