Senator,Yes,No,ProgessiveScore,Party,1s,2s,3s,4s,5s,6s,7s,8s,9s,10s,11s,12s,13s,14s,15s,16s,17s,18s,19s,20s,Region
"Barrett, Michael",17,3,0.85,(D),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,Third Middlesex
"Brady, Michael",17,3,0.85,(D),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,Second Plymouth and Bristol
"Brownsberger, William",16,4,0.80,(D),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,Second Suffolk and Middlesex
"Chandler, Harriette ",17,3,0.85,(D),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,First Worcester
"Chang0Diaz, Sonia ",20,0,1.00,(D),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Second Suffolk
"Collins, Nick",16,4,0.80,(D),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,First Suffolk
"Comerford, Jo",15,5,0.75,(D),1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0,"Hampshire, Franklin & Worcester"
"Creem, Cynthia ",16,4,0.80,(D),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,First Middlesex and Norfolk
"Crighton, Brendan",16,4,0.80,(D),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,Third Essex
"Cronin, John",16,4,0.80,(D),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,Worcester and Middlesex
"Cyr, Julian",16,4,0.80,(D),1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,Cape and Islands
"DiDomenico, Sal ",16,4,0.80,(D),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,Middlesex and Suffolk
"DiZoglio, Diana",15,5,0.75,(D),1,1,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,First Essex
"Eldridge, James ",20,0,1.00,(D),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Middlesex and Worcester
