INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
222021311,1831,,SICK ASSIST,D4, ,0,2022-03-27 04:34:00,2022,3,Sunday,4,,CLARENDON ST,0,0,"(0, 0)"
222021313,3501,,MISSING PERSON,B3, ,0,2022-03-27 04:30:00,2022,3,Sunday,4,,ROXTON ST,0,0,"(0, 0)"
222021309,3008,,SUICIDE / SUICIDE ATTEMPT,D14,797,0,2022-03-27 04:29:00,2022,3,Sunday,4,,COMMONWEALTH AVE,0,0,"(0, 0)"
222021298,423,,ASSAULT - AGGRAVATED,A1, ,0,2022-03-27 03:45:00,2022,3,Sunday,3,,"WASHINGTON ST & LAGRANGE ST
BOSTON  MA 02116
UNITE",42.35148496919687,-71.06282200809596,"(42.35148496919687, -71.06282200809596)"
222021299,3304,,NOISY PARTY/RADIO-NO ARREST,C11, ,0,2022-03-27 03:25:00,2022,3,Sunday,3,,DORCHESTER AVE,42.3002802831252,-71.06015261427552,"(42.3002802831252, -71.06015261427552)"
222021287,3304,,NOISY PARTY/RADIO-NO ARREST,C6,219,0,2022-03-27 02:54:00,2022,3,Sunday,2,,THOMAS PARK,42.33219301569595,-71.04505384717702,"(42.33219301569595, -71.04505384717702)"
222021295,2612,,FIRE REPORT/ALARM - FALSE,D14,783,0,2022-03-27 02:27:00,2022,3,Sunday,2,,COMMONWEALTH AVE,42.34888558899946,-71.14007361174073,"(42.34888558899946, -71.14007361174073)"
222021288,3115,,INVESTIGATE PERSON,D4, ,0,2022-03-27 02:23:00,2022,3,Sunday,2,,YARMOUTH PL,42.3463537670452,-71.0762378541931,"(42.3463537670452, -71.0762378541931)"
222021293,3802,,M/V ACCIDENT - PROPERTY DAMAGE,C11, ,0,2022-03-27 02:19:00,2022,3,Sunday,2,,LONGFELLOW ST,42.302697972121585,-71.06601479989696,"(42.302697972121585, -71.06601479989696)"
222021303,3201,,PROPERTY - LOST/ MISSING,A1, ,0,2022-03-27 02:01:00,2022,3,Sunday,2,,PARK PLZ,0,0,"(0, 0)"
222021286,423,,ASSAULT - AGGRAVATED,D4, ,0,2022-03-27 01:49:00,2022,3,Sunday,1,,E BERKELEY ST,42.34364058774265,-71.0648666140381,"(42.34364058774265, -71.0648666140381)"
222021284,423,,ASSAULT - AGGRAVATED,A1, ,0,2022-03-27 01:35:00,2022,3,Sunday,1,,"WASHINGTON ST & LAGRANGE ST
BOSTON  MA 02116
UNITE",42.35148496919687,-71.06282200809596,"(42.35148496919687, -71.06282200809596)"
222021297,2401,,AFFRAY,A1, ,0,2022-03-27 01:24:00,2022,3,Sunday,1,,TREMONT ST,42.3494286414245,-71.06536641197421,"(42.3494286414245, -71.06536641197421)"
222021290,1831,,SICK ASSIST,A1, ,0,2022-03-27 01:22:00,2022,3,Sunday,1,,CHARLES ST,42.36192791764945,-71.07081973558718,"(42.36192791764945, -71.07081973558718)"
222021306,1831,,SICK ASSIST,D14, ,0,2022-03-27 01:20:00,2022,3,Sunday,1,,COMMONWEALTH AVE,0,0,"(0, 0)"
222021278,3807,,M/V ACCIDENT - OTHER CITY VEHICLE,D4, ,0,2022-03-27 01:15:00,2022,3,Sunday,1,,"HERALD ST & ALBANY ST
BOSTON  MA 02118
UNITED STAT",42.345879959752395,-71.06127001885689,"(42.345879959752395, -71.06127001885689)"
222021300,801,,ASSAULT - SIMPLE,D4, ,0,2022-03-27 01:15:00,2022,3,Sunday,1,,BOYLSTON ST,42.3441262779061,-71.0994277699999,"(42.3441262779061, -71.0994277699999)"
222021296,3801,,M/V ACCIDENT - OTHER,A15, ,0,2022-03-27 00:58:00,2022,3,Sunday,0,,WARREN AVE,42.37143815232672,-71.06071728764758,"(42.37143815232672, -71.06071728764758)"
222021267,2670,,HARASSMENT/ CRIMINAL HARASSMENT,C11, ,0,2022-03-27 00:25:00,2022,3,Sunday,0,,HAMILTON ST,42.30876797911193,-71.07046719771598,"(42.30876797911193, -71.07046719771598)"
222021270,3111,,LICENSE PREMISE VIOLATION,A1, ,0,2022-03-27 00:12:00,2022,3,Sunday,0,,POST OFFICE SQ,42.35632204800864,-71.05566139797963,"(42.35632204800864, -71.05566139797963)"
222021268,3115,,INVESTIGATE PERSON,C6, ,0,2022-03-27 00:00:00,2022,3,Sunday,0,,W BROADWAY,42.33611199552338,-71.04665434223368,"(42.33611199552338, -71.04665434223368)"
222021272,3802,,M/V ACCIDENT - PROPERTY DAMAGE,D4, ,0,2022-03-26 23:53:00,2022,3,Saturday,23,,"HARRISON AVE & E NEWTON ST
BOSTON  MA 02118
UNITED",42.337500026480555,-71.07196995277862,"(42.337500026480555, -71.07196995277862)"
222021271,3115,,INVESTIGATE PERSON,D14, ,0,2022-03-26 23:28:00,2022,3,Saturday,23,,GUEST ST,42.35674412427863,-71.14367007305148,"(42.35674412427863, -71.14367007305148)"
222021275,3410,,TOWED MOTOR VEHICLE,C11, ,0,2022-03-26 23:20:00,2022,3,Saturday,23,,SPEEDWELL ST,42.30406721686813,-71.06760041641915,"(42.30406721686813, -71.06760041641915)"
222021277,3410,,TOWED MOTOR VEHICLE,C6, ,0,2022-03-26 23:16:00,2022,3,Saturday,23,,MONSIGNOR DENNIS F. O'CALLAGHA WAY,0,0,"(0, 0)"
222021257,3111,,LICENSE PREMISE VIOLATION,B2, ,0,2022-03-26 23:11:00,2022,3,Saturday,23,,TREMONT ST,42.33209621515696,-71.09860557454644,"(42.33209621515696, -71.09860557454644)"
222021261,3006,,SICK/INJURED/MEDICAL - PERSON,D4, ,0,2022-03-26 23:06:00,2022,3,Saturday,23,,DARTMOUTH ST,42.350695374445706,-71.07763999372608,"(42.350695374445706, -71.07763999372608)"
222021256,3111,,LICENSE PREMISE VIOLATION,B2, ,0,2022-03-26 23:03:00,2022,3,Saturday,23,,PARKER ST,42.33083326663215,-71.09757504244756,"(42.33083326663215, -71.09757504244756)"
222021260,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,C11, ,0,2022-03-26 23:00:00,2022,3,Saturday,23,,LEONARD ST,42.302008976950596,-71.05696814210212,"(42.302008976950596, -71.05696814210212)"
222021258,619,,LARCENY ALL OTHERS,D4, ,0,2022-03-26 22:47:00,2022,3,Saturday,22,,SHAWMUT AVE,42.34236157837844,-71.07024069263285,"(42.34236157837844, -71.07024069263285)"
222021259,423,,ASSAULT - AGGRAVATED,D14, ,0,2022-03-26 22:40:00,2022,3,Saturday,22,,EASTON ST,42.360140046328986,-71.13027928794904,"(42.360140046328986, -71.13027928794904)"
222021251,1402,,VANDALISM,B2, ,0,2022-03-26 22:33:00,2022,3,Saturday,22,,FRANCIS ST,42.33538443957382,-71.10677964872764,"(42.33538443957382, -71.10677964872764)"
222021246,3112,,LANDLORD - TENANT,D14,778,0,2022-03-26 22:28:00,2022,3,Saturday,22,,WASHINGTON ST,42.34905600030506,-71.15049849975023,"(42.34905600030506, -71.15049849975023)"
222021254,3115,,INVESTIGATE PERSON,C11, ,0,2022-03-26 22:25:00,2022,3,Saturday,22,,WAINWRIGHT ST,42.290395673093435,-71.06705307730446,"(42.290395673093435, -71.06705307730446)"
222021247,2905,,VAL - VIOLATION OF AUTO LAW,A7, ,0,2022-03-26 21:56:00,2022,3,Saturday,21,,"E EAGLE ST & CONDOR ST
EAST BOSTON  MA 02128
UNITE",42.38133300412343,-71.02858797255585,"(42.38133300412343, -71.02858797255585)"
222021244,1402,,VANDALISM,A1, ,0,2022-03-26 21:48:00,2022,3,Saturday,21,,"DEVONSHIRE ST & CONGRESS ST
BOSTON  MA 02109
UNITE",42.35886199053728,-71.05680998691555,"(42.35886199053728, -71.05680998691555)"
222021236,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,D4, ,0,2022-03-26 21:20:00,2022,3,Saturday,21,,"COMMONWEALTH AVE & MASSACHUSETTS AVE
BOSTON  MA 02",42.34889999081628,-71.0885199728418,"(42.34889999081628, -71.0885199728418)"
222021235,801,,ASSAULT - SIMPLE,A1, ,0,2022-03-26 21:08:00,2022,3,Saturday,21,,WASHINGTON ST,42.35397632003462,-71.0620704564612,"(42.35397632003462, -71.0620704564612)"
222021237,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,B3, ,0,2022-03-26 21:04:00,2022,3,Saturday,21,,"WOLLASTON TER & WOODROW AVE
DORCHESTER  MA 02124
U",42.28732202906929,-71.0833010188939,"(42.28732202906929, -71.0833010188939)"
222021231,3115,,INVESTIGATE PERSON,A7, ,0,2022-03-26 20:49:00,2022,3,Saturday,20,,MARGINAL ST,42.36423833108297,-71.03344046177381,"(42.36423833108297, -71.03344046177381)"
222021225,1810,,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,B2, ,0,2022-03-26 20:46:00,2022,3,Saturday,20,,WARREN ST,42.329024688954846,-71.08341504753118,"(42.329024688954846, -71.08341504753118)"
222021229,617,,LARCENY THEFT FROM BUILDING,B3, ,0,2022-03-26 20:22:00,2022,3,Saturday,20,,RIPLEY RD,42.2992630326008,-71.0762651335127,"(42.2992630326008, -71.0762651335127)"
222021226,3006,,SICK/INJURED/MEDICAL - PERSON,A7, ,0,2022-03-26 20:10:00,2022,3,Saturday,20,,MARGINAL ST,42.365574452973576,-71.03650420142839,"(42.365574452973576, -71.03650420142839)"
222021233,3115,,INVESTIGATE PERSON,C6, ,0,2022-03-26 20:05:00,2022,3,Saturday,20,,I ST,42.33512931291453,-71.03996713462601,"(42.33512931291453, -71.03996713462601)"
222021219,3114,,INVESTIGATE PROPERTY,E13, ,0,2022-03-26 19:57:00,2022,3,Saturday,19,,ROCKVALE CIR,42.30734155846864,-71.10544090409144,"(42.30734155846864, -71.10544090409144)"
222021224,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,E5,691,0,2022-03-26 19:45:00,2022,3,Saturday,19,,CENTRE ST,42.28709355259107,-71.14822128377165,"(42.28709355259107, -71.14822128377165)"
222021211,2670,,HARASSMENT/ CRIMINAL HARASSMENT,D4, ,0,2022-03-26 19:45:00,2022,3,Saturday,19,,NORTHAMPTON ST,42.336650482394305,-71.07841035201858,"(42.336650482394305, -71.07841035201858)"
222021210,615,,LARCENY THEFT OF MV PARTS & ACCESSORIES,E18,520,0,2022-03-26 19:44:00,2022,3,Saturday,19,,HYDE PARK AVE,42.256215920402155,-71.12401947329023,"(42.256215920402155, -71.12401947329023)"
222021241,3801,,M/V ACCIDENT - OTHER,A1, ,0,2022-03-26 19:44:00,2022,3,Saturday,19,,COMMERCIAL ST,42.36758919430095,-71.0575883992942,"(42.36758919430095, -71.0575883992942)"
222021216,1831,,SICK ASSIST,D4, ,0,2022-03-26 19:43:00,2022,3,Saturday,19,,HUNTINGTON AVE,42.34201849799732,-71.08566212663452,"(42.34201849799732, -71.08566212663452)"
222021213,3115,,INVESTIGATE PERSON,B2, ,0,2022-03-26 19:40:00,2022,3,Saturday,19,,W COTTAGE ST,42.321059555094905,-71.0731329123284,"(42.321059555094905, -71.0731329123284)"
